event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,prefix,split
PersonX accidentally dropped it,"[""none"", ""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""clumsy"", ""awkward"", ""clumsy"", ""uncoordinated""]","[""is confused"", ""did something wrong"", ""can't do what he planned"", ""needs to make new plans""]","[""none"", ""none""]","[""none"", ""none""]","[""sad"", ""apologetic"", ""embarrassed""]","[""to pick it up"", ""to fix the broken thing they dropped"", ""picks it back up"", ""smiles"", ""to cry"", ""to panic""]","[""accidentally"", ""dropped""]",trn
PersonX accidentally hit,"[""none""]","[""hurt""]","[""none"", ""none""]","[""clumsy."", ""foolish."", ""hurt."", ""Clumsy"", ""Sorry"", ""ignorant"", ""hurt""]","[""hand broken"", ""hand swollen""]","[""none""]","[""none"", ""none""]","[""guilty""]","[""to get bandaged"", ""to get first aid"", ""to ascertain the damage to his vehicle"", ""to seek compensation from the person who hit .""]","[""accidentally"", ""hit""]",trn
PersonX accidentally hit ___,"[""Other person is injured"", ""Other person gets mad at person x and seeks retribution"", ""none""]","[""indignant"", ""annoyed"", ""angry at personx"", ""sad for their own experience"", ""hurt""]","[""to get revenge"", ""to accept an apology"", ""file charges"", ""seek justice"", ""to assess their wounds"", ""go to doctor"", ""call police"", ""none""]","[""mortified"", ""terrified"", ""clumsy"", ""silly"", ""clumsy"", ""appologetic""]","[""Person x is punished for hitting"", ""Person x injures self or hand aftet hitting object/person"", ""Goes to jail"", ""Gets detention""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none"", ""none""]","[""horrified"", ""dismayed"", ""disappointed that they had an accident"", ""angry that the accident took place"", ""horrified""]","[""to say sorry"", ""to see if someone is okay"", ""apologize"", ""run away"", ""check to make sure everyone is ok"", ""see if they can help"", ""apologize"", ""to say sorry"", ""to make it feel better""]","[""accidentally"", ""hit""]",trn
PersonX accidentally kicked,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""to yell"", ""to get back at PersonX""]","[""regretful"", ""sorrowful"", ""clumsy"", ""not careful"", ""Clumsy"", ""uncoordinated""]","[""cries"", ""bruises"", ""none"", ""yelps in pain"", ""swears under their breath""]","[""none"", ""none"", ""none""]","[""sits too close"", ""pulls his seat back"", ""none"", ""none""]","[""restless"", ""guilty"", ""embarrassed"", ""sorry""]","[""moves up his seat"", ""says sorry"", ""to scream"", ""to shock"", ""to apologize"", ""to see if something/someone is okay""]","[""accidentally"", ""kicked""]",tst
PersonX accidentally kicked ___,"[""none"", ""none"", ""none""]","[""none"", ""none"", ""sorry for him""]","[""none"", ""none"", ""to catch PersonX"", ""to make PersonX pay for the damage""]","[""power"", ""strong"", ""klutzy"", ""sorry"", ""carelesss"", ""clumbsy""]","[""gets in trouble"", ""get yelled at"", ""hurts his toes"", ""gets bit by a dog"", ""gets curseed at"", ""gets hit back""]","[""none"", ""none"", ""none""]","[""none"", ""to be unaware of what's going on"", ""to make an attempt"", ""to be playing sports"", ""to have bad aim""]","[""surprised"", ""embarrassed"", ""ashamed""]","[""to apologize"", ""to pick it up"", ""to get it back"", ""to yell swear words"", ""to run away"", ""to avoid blame""]","[""accidentally"", ""kicked""]",tst
PersonX adds ___ to the fire,"[""none"", ""none""]","[""none"", ""none"", ""grateful""]","[""none"", ""none"", ""none""]","[""productive"", ""useful"", ""careful"", ""manly"", ""strong"", ""useful""]","[""gets yelled at"", ""is thrown out"", ""PersonX burns their skin"", ""PersonX cries in pain""]","[""to be warmer"", ""to keep the fire going"", ""to be helpful""]","[""none"", ""to get some coal"", ""to go to the fire"", ""to chop wood"", ""to pour more coal from the bag""]","[""happy"", ""warm"", ""helpful""]","[""a huge blaze"", ""to watch the flames"", ""to watch the fire"", ""to put out the fire"", ""to fan the fire"", ""to stir the fire""]","[""adds"", ""fire""]",trn
PersonX adds fuel to the fire,"[""none"", ""takes him to the hospital"", ""bandages him"", ""none""]","[""angry"", ""angered"", ""angry""]","[""to win the argument"", ""to concede"", ""to come close to PersonX's fire and get warm"", ""to cook some of their own food on PersonX's fire"", ""to observe PersonX"", ""to be careful around PersonX""]","[""emotional"", ""mean"", ""irresponsible"", ""immature"", ""aggressive"", ""violent""]","[""gets burned"", ""can't contain it"", ""he gets burned"", ""he goes to the hospital"", ""yelled at"", ""gets punched""]","[""to be entertained"", ""to be an instigator"", ""to create drama""]","[""to think of an argument"", ""to confront someone"", ""to acquire some kind of fuel"", ""to physically carry the fuel into proximity of the fire"", ""none""]","[""evil"", ""malicious"", ""justified"", ""they have instigated the situation""]","[""to win the argument"", ""to give up"", ""to make sure the fuel is correctly placed in the fire"", ""to stay close to the fire and get warm"", ""to cook some food on the fire"", ""to watch it burn"", ""to cause chaos""]","[""adds"", ""fuel""]",trn
PersonX advises PersonY to take,"[""listen"", ""understand"", ""none""]","[""thankful"", ""smarter"", ""thankful"", ""betrayed""]","[""to get a class of water"", ""to make a schedule"", ""none""]","["", scared"", ""cowardly,"", ""mature"", ""influenced"", ""skilled"", ""informative"", ""helpful"", ""knowledgeable"", ""engaged""]","[""none"", ""SHARING IDEAS"", ""PROVIDE KNOWLEDGE""]","[""to be helpful"", ""to inform another"", ""to educate"", ""to protect""]","[""to think of wisdom"", ""to approach"", ""none"", ""to have read about something helpful"", ""to have written down something helpful""]","[""helpful"", ""supportive"", ""knowledgeable"", ""powerful""]","[""to show PersonY where to buy the medicine"", ""to help PersonY with his medicine schedule"", ""to advice Z also to take"", ""to leave advising people""]","[""advises"", ""take""]",trn
PersonX affords to buy one,"[""none"", ""are happy with sale"", ""sold an item"", ""none""]","[""none""]","[""none"", ""none"", ""none""]","[""succuessful"", ""helpful"", ""releived"", ""excited"", ""wealthy"", ""rich""]","[""obtains something"", ""spends money"", ""gains a new item"", ""receives something."", ""gains something"", ""makes a purchase""]","[""none""]","[""earn enough money"", ""to know where to buy one"", ""to find a place to by one"", ""to order one""]","[""pleased""]","[""to buy it"", ""to use it"", ""to buy something"", ""to have enough money"", ""to own one"", ""to show it off""]","[""affords"", ""buy""]",trn
PersonX agrees to take PersonY,"[""gets helped by someone"", ""enters school"", ""Pays for gas"", ""Shops""]","[""grateful and happy."", ""uninspired""]","[""to talk to personx"", ""to elaborate some more""]","[""Responsible"", ""Selfless"", ""friendly"", ""agreeable"", ""just"", ""helpful""]","[""helps someone learn"", ""gets paid"", ""Drives to mall"", ""Drops her off""]","[""persony not to be homeless."", ""to lend a hand""]","[""none""]","[""happy."", ""uncomfortable"", ""liable""]","[""to provide feedback"", ""to respond""]","[""agrees"", ""take""]",trn
PersonX aims PersonX's gun,"[""none"", ""none""]","[""hurt"", ""none""]","[""none"", ""Get scared"", ""Run"", ""none""]","[""fierce"", ""threatening"", ""adventurous"", ""brave"", ""daring"", ""actionable""]","[""commits a crime"", ""gets arrested"", ""shoots gun"", ""hurts others""]","[""to shoot the gun"", ""train how to shoot well""]","[""To have a gun"", ""To have bullet"", ""To pick up the gun"", ""Look at where he wants to aim it"", ""get the gun"", ""put in bullets""]","[""terrified"", ""glad to have practiced""]","[""To fire"", ""To go to shooting competition"", ""To shoot the gun"", ""Scare someone"", ""fire the gun"", ""put the gun back up""]","[""aims"", ""gun""]",trn
PersonX allows PersonY access,"[""takes"", ""sits""]","[""happy"", ""grateful"", ""thankful"", ""grateful""]","[""to enter the complex"", ""to make sure the area is safe"", ""To go into office"", ""To work at his desk"", ""to thank PersonX"", ""to work with PersonX""]","[""agreeable"", ""cooperative"", ""helpful"", ""giving"", ""discriminating"", ""wary""]","[""opens"", ""moves aside""]","[""to get his friendship"", ""to let someone in somewhere"", ""to be helpful""]","[""to receive PersonY"", ""to determine PersonY's trustworthiness"", ""To be knowing Y"", ""To be working in a company"", ""to meet PersonY"", ""to trust PersonY""]","[""happy about achieving his goal."", ""friendly"", ""open"", ""helpful""]","[""to continue to work"", ""to keep up security"", ""To do security check"", ""To open the gate for Y"", ""to give PersonY a badge"", ""to show PersonY around""]","[""allows"", ""access""]",trn
PersonX allows ___ to enter,"[""none"", ""gets asked questions"", ""gets ignored"", ""none""]","[""thankful"", ""grateful""]","[""none"", ""to thank him"", ""to show their  gratitude for him"", ""to hang out"", ""to talk to PersonX""]","[""magnamius"", ""indulgent"", ""influential"", ""dominant"", ""Caring"", ""Loving""]","[""goes to sleep"", ""tries to rest"", ""gets approached by someone"", ""engages in conversation"", ""PersonX is welcoming"", ""PersonX is gracious""]","[""to let someone go through"", ""to be respectful""]","[""none"", ""to make arrangements for it"", ""to arrange food for them"", ""to open the door"", ""to respond to a request""]","[""niice"", ""proud""]","[""To finish woth work"", ""To relax"", ""to see to their needs"", ""to provide clothes for them"", ""to tell PersonX to leave"", ""to converse with PersonX""]","[""allows"", ""enter""]",trn
PersonX almost hit,"[""none"", ""none"", ""none""]","[""nervous.""]","[""none"", ""none""]","[""clumsy"", ""near sighted"", ""neglectful"", ""clumsy""]","[""They miss"", ""They try to hit again"", ""personx hyperventilates"", ""personx sweats heavily"", ""winner"", ""got awards""]","[""none""]","[""get in the car"", ""drive to fast"", ""to be texting on their phone"", ""to not be seeing where they are goin""]","[""angry.""]","[""to stop"", ""to take a deep breath"", ""to stop"", ""to apologize"", ""to check if everyone is okay"", ""to breath in and out""]","[""almost"", ""hit""]",trn
PersonX almost hit PersonY,"[""none""]","[""hurt."", ""scared""]","[""To abuse In return"", ""To hit back"", ""to receive an apology"", ""to continue on their way""]","[""careless"", ""inattentive"", ""clumsy"", ""sorry"", ""careful"", ""angry""]","[""misses"", ""frowns""]","[""none"", ""to hurt persony""]","[""To be angry"", ""To be mad at Y"", ""none""]","[""sad"", ""angry""]","[""To fight"", ""To abuse"", ""apologize"", ""be aware of their surroundings""]","[""almost"", ""hit""]",trn
PersonX almost hit ___,"[""none"", ""almost call the police."", ""make fall coffee."", ""are concerned"", ""want to avoid""]","[""worried"", ""anxious"", ""scared"", ""terrified"", ""vulnerable""]","[""to file a complaint"", ""to think of how lucky they were"", ""human being"", ""wall"", ""trees"", ""dog""]","[""guilty"", ""careless"", ""restrained"", ""lucky"", ""fortunate"", ""inmature"", ""thankful""]","[""avoids an accident"", ""prays"", ""have a heart attack."", ""be stressed."", ""none""]","[""to keep control"", ""none"", ""none""]","[""none""]","[""worried"", ""anxious"", ""nervous"", ""shaken"", ""scared"", ""shook""]","[""to take some deep breaths"", ""to reflect on their poor decisions"", ""to cure"", ""to recover"", ""to give money"", ""to ask sorry""]","[""almost"", ""hit""]",trn
PersonX also grabbed,"[""none"", ""none""]","[""none""]","[""none"", ""to have some too"", ""to say thanks for it"", ""none""]","[""greedy"", ""pushy"", ""unkind"", ""greedy"", ""selfish"", ""anticipating"", ""aggressive"", ""compliant""]","[""none"", ""got hit"", ""possesses the object""]","[""to take something somewhere""]","[""none"", ""to be hungry"", ""to have the food their"", ""to reach out for something"", ""to hold their hand out""]","[""obligated""]","[""to take it"", ""to move it"", ""to eat it"", ""to clean up after themself"", ""to snatch it"", ""to take it with them""]","[""also"", ""grabbed""]",trn
PersonX also grabbed ___,"[""none"", ""none""]","[""none"", ""none"", ""good""]","[""none"", ""none"", ""none""]","[""resourceful"", ""handy"", ""touchy"", ""handsy"", ""strong willed"", ""decisive""]","[""gets a place in line"", ""gets the gold ring"", ""Gets arrested"", ""has police chasing him""]","[""their hair to look good."", ""to stock up"", ""to eat""]","[""to be near the object"", ""to extend his hands"", ""none"", ""none""]","[""attractive"", ""determined"", ""good""]","[""to buy the object"", ""to throw the object"", ""He wants the last piece."", ""They fight for it."", ""to have more"", ""to be prepared""]","[""also"", ""grabbed""]",trn
PersonX also watched,"[""none"", ""none""]","[""none""]","[""none"", ""none""]","[""curious"", ""attentive"", ""observant"", ""cooperative"", ""observant"", ""keen""]","[""Gains knowledge"", ""Becomes relaxed"", ""PersonX loses focus"", ""PersonX gets distracted""]","[""to be alert""]","[""none"", ""none""]","[""prepared"", ""ready""]","[""to learn more"", ""to be entertained"", ""He got embarrassed."", ""He quickly turned it off.""]","[""also"", ""watched""]",trn
PersonX also watched ___,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""fun-loving"", ""nature-loving"", ""keen"", ""perspective"", ""active"", ""knowledgable""]","[""gets drowsy"", ""sits in living room"", ""reflects on the video"", ""continues watching over videos""]","[""to laugh"", ""to know how something ends"", ""to relax"", ""to be entertained""]","[""a tv"", ""a remote"", ""none"", ""turn on TV"", ""flip through channels""]","[""wonderful"", ""entertained"", ""relaxed"", ""amused""]","[""fall asleep"", ""take a nap"", ""talk about it"", ""share the video"", ""check TV schedule"", ""look through other channels""]","[""also"", ""watched""]",trn
PersonX always beat,"[""none"", ""none"", ""cries"", ""gets defeated""]","[""none"", ""none""]","[""none"", ""to escape"", ""to run away"", ""to practice more"", ""to study more"", ""congratulate PersonX"", ""challenge PersonX again""]","[""skilled"", ""successful"", ""competitive"", ""Persistent"", ""Long lasting"", ""angry"", ""annoyed""]","[""walks with their head up"", ""doesn't talk to anyone"", ""none"", ""gets congratulated"", ""wins something""]","[""won"", ""to win""]","[""practice a skill"", ""enter contests"", ""To go near"", ""to take a stick"", ""to practice"", ""to study"", ""practice"", ""challenge someone""]","[""accomplished"", ""competitive"", ""competent""]","[""celebrate"", ""collect winnings"", ""to reform him"", ""to make him realise"", ""to brag to his friends"", ""to tell their parents"", ""challenge someone else"", ""celebrate""]","[""always"", ""beat""]",tst
PersonX always beat ___,"[""gets called names"", ""does not get invited again"", ""none""]","[""sad"", ""none""]","[""to sulk"", ""to cry"", ""to enter the competition"", ""to win the competition"", ""none""]","[""aggressive"", ""cruel"", ""aggressive"", ""competitive""]","[""gets called an over achiever"", ""gets asked for advice"", ""none""]","[""to be a winner"", ""to win""]","[""to pull out the cards"", ""to play poker"", ""to train hard"", ""to train consistently"", ""to enter the competition"", ""to work hard""]","[""victorious"", ""competitive""]","[""to collect the winnings"", ""to go home"", ""to enter the competition"", ""to win the competition"", ""to keep doing a good job"", ""to celebrate""]","[""always"", ""beat""]",tst
PersonX always beats,"[""none"", ""none"", ""none""]","[""scared and upset""]","[""none"", ""to win"", ""to stop losing"", ""none"", ""none""]","[""disciplined"", ""dominant"", ""competitive"", ""fierce""]","[""none"", ""wins the prize"", ""gains confidence"", ""Gets into trouble"", ""Loses friends""]","[""to show his austerity""]","[""be skilled"", ""compete"", ""none"", ""none"", ""none""]","[""sorry for his act""]","[""be acknowledged"", ""be rewarded"", ""to win"", ""to be great"", ""to be a winner"", ""to be the best"", ""practice more"", ""get a drink""]","[""always"", ""beats""]",trn
PersonX always beats ___,"[""none""]","[""sad"", ""weak"", ""none"", ""defeated""]","[""to practice more"", ""to congratulate personx for winning"", ""to win over PersonX for once"", ""to improve his game skills"", ""to win"", ""to become better""]","[""talented"", ""competitive"", ""effective"", ""aggressive"", ""competitive"", ""Winner"", ""Gifted""]","[""wins the award"", ""is congratulated""]","[""to win"", ""to tame his naughty horse"", ""demonstrate physical power""]","[""to go to where persony is"", ""to play a game with persony"", ""none"", ""to compete with"", ""to win""]","[""proud"", ""happy"", ""strong"", ""sad"", ""invigorated""]","[""to find something else to do"", ""to celebrate winning"", ""to prove that he is the best"", ""to win the prize"", ""to remain champion"", ""to intimidate""]","[""always"", ""beats""]",trn
PersonX always buy,"[""none"", ""none"", ""none""]","[""thankful""]","[""none"", ""none""]","[""wealthy"", ""needy"", ""loyal"", ""dependent"", ""extravagant"", ""curious""]","[""SPENDS MONEY"", ""HAS TO COME UP WITH MONEY"", ""HAS TO MAKE A DECISION"", ""has OCD"", ""is in a rut"", ""sticks to a routine"", ""avoids change"", ""pays with money"", ""pays with credit card""]","[""to be liked""]","[""to earn money."", ""to decide what to buy."", ""to obtain money"", ""to go to the store"", ""none""]","[""content""]","[""to make more money"", ""to enjoy the items"", ""to patronize a brand"", ""to review the brand""]","[""always"", ""buy""]",trn
PersonX always buy ___,"[""none""]","[""none"", ""none""]","[""none"", ""none"", ""none""]","[""particular"", ""picky"", ""frivolous"", ""irresponsible"", ""spendthrifty"", ""guilty"", ""content""]","[""has less money"", ""socializes with sales persons""]","[""to be a selective person"", ""to have their favorites""]","[""to start buying something"", ""to like to use one item"", ""none"", ""purchase something"", ""stock up""]","[""satisfied"", ""excited""]","[""to try something new"", ""to keep buying one thing"", ""to eat the vegtables"", ""to cook the vegtables"", ""sell items"", ""cut back""]","[""always"", ""buy""]",trn
PersonX always followed ___,"[""none"", ""none""]","[""none"", ""none"", ""proud""]","[""none"", ""none""]","[""diligent"", ""precise"", ""loyal"", ""caring"", ""conservative"", ""lawful""]","[""got promoted"", ""got a raise"", ""never gets a ticket"", ""gets called to jury duty""]","[""to make sure he/she gets it right"", ""to show they are a good worker"", ""to be a good role model""]","[""figure how to to follow something"", ""determine what to follow"", ""learn to read"", ""respect authority""]","[""determined"", ""good"", ""contented""]","[""continue following"", ""try to be a good person"", ""ask for more orders"", ""comply""]","[""always"", ""followed""]",trn
PersonX always forgot,"[""none"", ""they remind them sometimes"", ""they do things to help them remember""]","[""none"", ""annoyed"", ""upset"", ""disappointed"", ""none""]","[""to chide PersonX for forgetting"", ""to help PersonX to remember next time"", ""none""]","[""forgetful"", ""clumsy"", ""careless"", ""thoughtless"", ""forgetful"", ""unintelligent""]","[""PersonX misses the appointment"", ""PersonX misses the date"", ""they have to go back an get it"", ""they are known as forgetful""]","[""none"", ""none"", ""none""]","[""to plan an activity"", ""to try to remember to do something"", ""none""]","[""embarrased"", ""aloof"", ""clumsy"", ""irresponsible"", ""bad""]","[""to go back in time"", ""to do the thing that was forgotten"", ""to be more mindful"", ""to be better at remembering things""]","[""always"", ""forgot""]",trn
PersonX always get,"[""none"", ""none""]","[""none""]","[""to see why they like it"", ""to try it themself""]","[""habitual"", ""predictable"", ""consistent"", ""persuasive"", ""pushy"", ""demanding""]","[""to where PersonX is going"", ""accepts what is offered"", ""they appreciate it"", ""they like it more""]","[""none""]","[""to decide they like it"", ""to buy it a lot""]","[""happy about it""]","[""to enjoy it more"", ""to try new things""]","[""always"", ""get""]",trn
PersonX always get ___,"[""none"", ""none"", ""none""]","[""amused""]","[""none""]","[""Consistent"", ""Dedicated"", ""responsible"", ""consistent"", ""good"", ""helpful""]","[""PersonX smiles from excitement"", ""PersonX is attentive"", ""admiration from others"", ""rewards for his achievements"", ""accomplishes task"", ""orders food""]","[""none""]","[""none""]","[""picked on""]","[""To finish work"", ""To get free""]","[""always"", ""get""]",trn
PersonX always gets,"[""none"", ""none""]","[""none"", ""none""]","[""none""]","[""thankful"", ""nice"", ""greedy"", ""wealthy""]","[""none"", ""none""]","[""to use it"", ""to obtain something""]","[""none""]","[""happy"", ""interested""]","[""to eat"", ""to talk""]","[""always"", ""gets""]",trn
PersonX always used,"[""none"", ""none"", ""none""]","[""none"", ""none""]","[""none""]","[""responsible"", ""conscientious"", ""loyal"", ""dependent""]","[""Cries"", ""Loses trust in people"", ""keeps routine"", ""is not surprised"", ""gets high"", ""gets arrested"", ""feels guilty""]","[""to utilize something"", ""to use a glove""]","[""to determine needs"", ""to choose something""]","[""typical"", ""comforted"", ""crafty""]","[""to continue using something"", ""to use something else""]","[""always"", ""used""]",trn
PersonX always used ___,"[""none"", ""none""]","[""none"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""traditional"", ""predictable"", ""stubborn"", ""habitual"", ""to be a winner"", ""tries to be original""]","[""becomes artist"", ""publishes book"", ""accounts get hacked"", ""someone steals identity""]","[""to be consistent"", ""to be able to change his answers"", ""to reduce the self effect""]","[""none"", ""none"", ""to do things for the first time"", ""to repeat favorite actions"", ""to create certain habits""]","[""consistent"", ""capable"", ""satisfied""]","[""to stick with what their comfortable with"", ""to try something new"", ""To be lucky"", ""To be consistent"", ""to write with lead"", ""to rely on paper maps"", ""to play specific card game"", ""to rely on preferred number""]","[""always"", ""used""]",trn
PersonX always watch ___,"[""none"", ""none"", ""they notice PersonX is watching them"", ""they start to scream""]","[""irritated"", ""none"", ""none""]","[""none"", ""none"", ""none""]","[""observant"", ""cautious"", ""paranoid"", ""vigilant"", ""observant"", ""careful"", ""nosy""]","[""PersonX stares absentmindedly"", ""PersonX can't help but watch"", ""gets tired"", ""learns about someone/something"", ""becomes hungry after watching PersonY eating ramen"", ""accidentally falls asleep while watching the tv""]","[""to check whether y is a good person"", ""to cheer for his team"", ""to watch something interesting""]","[""none"", ""a tv"", ""money"", ""to start watching something"", ""to turn on the tv""]","[""irritated"", ""engaged"", ""happy because the show was good""]","[""to keep an eye on it"", ""to make sure it's safe"", ""to go out"", ""take a break"", ""to stop watching"", ""to watch something else""]","[""always"", ""watch""]",dev
