original_row_id,event,status,rewritten,score_avg_all,score_avg_approvers,approvals_count,majority_vote,judge1_provider,judge1_vote,judge1_score,judge1_reason,judge2_provider,judge2_vote,judge2_score,judge2_reason,judge3_provider,judge3_vote,judge3_score,judge3_reason
706,PersonX buys ___ the other day,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
551,PersonX buys ___ for PersonY's children,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
395,PersonX burns PersonX's tongue,APPROVED,False,92.33,92.33,3,True,openai,approve,92,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
941,PersonX buys coffee,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
707,PersonX buys ___ the other day,APPROVED,False,96.0,96.0,3,True,openai,approve,93,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
162,PersonX asks PersonY to take,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
708,PersonX buys a loaf of bread,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
942,PersonX buys a scratch lottery ticket,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
396,PersonX burns PersonX's tongue,APPROVED,False,68.33,95.0,2,True,openai,approve,90,All criteria met.,anthropic,reject,15,DERIVABILITY: Event describes accidental self-injury; context invents unmentioned assailant (PersonY) and corrosive substance attack contradicting the event text.,gemini,approve,100,All criteria met.
552,PersonX buys ___ after work,APPROVED,False,95.0,95.0,3,True,openai,approve,90,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
6,PersonX almost hit ___,APPROVED,False,69.0,96.0,2,True,openai,approve,92,All criteria met.,anthropic,reject,15,PROPORTIONALITY: xIntent describes intentional aggressive acts ('to damage or destroy property') contradicting 'almost hit' (accidental/failed attempt).,gemini,approve,100,All criteria met.
397,PersonX buys PersonX's first house,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
163,PersonX asks PersonY's forgiveness,APPROVED,False,94.67,94.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
553,PersonX buys ___ after work,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
943,PersonX buys a scratch lottery ticket,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
709,PersonX buys a loaf of bread,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
8,PersonX accidentally dropped ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
164,PersonX asks PersonY's forgiveness,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
7,PersonX accidentally dropped ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
398,PersonX buys PersonX's first house,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
554,PersonX buys ___ at a price,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
710,PersonX buys a home,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
944,PersonX buys it anyway,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
9,PersonX always beat ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
165,PersonX blots PersonX's copy book,APPROVED,False,94.67,94.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
399,PersonX buys PersonX's clothes,APPROVED,False,92.33,92.33,3,True,openai,approve,92,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
555,PersonX buys ___ at a price,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
711,PersonX buys a home,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
945,PersonX buys it anyway,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
166,PersonX blots PersonX's copy book,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
400,PersonX buys PersonX's clothes,APPROVED,False,69.0,96.0,2,True,openai,approve,92,All criteria met.,anthropic,reject,15,DERIVABILITY: Event text contradicts crime. PersonX buying PersonX's own clothes cannot constitute theft or receiving stolen goods.,gemini,approve,100,All criteria met.
10,PersonX always beat ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
712,PersonX buys a new car,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
556,PersonX buys ___ for PersonY's daughter,APPROVED,False,95.0,95.0,3,True,openai,approve,90,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
946,PersonX buys gas,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
11,PersonX always beats ___,APPROVED,False,98.33,98.33,3,True,openai,approve,100,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
557,PersonX buys ___ for PersonY's daughter,APPROVED,False,94.67,94.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
167,PersonX borrows some money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
713,PersonX buys a new car,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
401,PersonX buys PersonX's dress,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
12,PersonX always beats ___,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
168,PersonX borrows some money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
947,PersonX buys gas,APPROVED,False,94.67,94.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
948,PersonX buys gifts for PersonX's family,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
402,PersonX buys PersonX's dress,APPROVED,False,92.33,92.33,3,True,openai,approve,92,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
714,PersonX buys a new battery,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
558,PersonX buys ___ for cheap,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
13,PersonX accidentally burned ___,REJECTED,False,18.33,0.0,0,False,openai,reject,20,"CONSISTENCY: xIntent lists deliberate criminal aims (insurance fraud, dispose evidence, diversion) contradicting the event marked 'accidentally'.",anthropic,reject,15,PROPORTIONALITY: xIntent includes 'to dispose of evidence' and 'to commit insurance fraud'—intentional aggressive acts contradicting 'accidentally' in event.,gemini,reject,20,"CONSISTENCY/PROPORTIONALITY: xIntent describes deliberate criminal goals (dispose of evidence, insurance fraud) which directly contradict the 'accidentally' modifier in the event text."
559,PersonX buys ___ for cheap,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
403,PersonX buys PersonX's wife ___,APPROVED,False,91.67,91.67,3,True,openai,approve,90,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
715,PersonX buys a new battery,APPROVED,False,95.0,95.0,3,True,openai,approve,90,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
170,PersonX borrows ___ to pay,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
169,PersonX borrows ___ to pay,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
949,PersonX buys gifts for PersonX's family,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
14,PersonX accidentally burned ___,REJECTED,False,18.33,0.0,0,False,openai,reject,20,"PROPORTIONALITY: xIntent lists intentional aggressive aims (e.g., 'to intimidate', 'to cause harm') contradicting the event's 'accidentally' description.",anthropic,reject,15,PROPORTIONALITY: xIntent includes 'to cause harm in a moment of rage' and 'to use a weapon carelessly' — aggressive actions contradict 'accidentally' in event.,gemini,reject,20,"PROPORTIONALITY: xIntent describes intentional aggressive acts ('to intimidate', 'to cause harm in a moment of rage') which directly contradicts the 'accidentally' modifier in the event."
404,PersonX buys PersonX's wife ___,REJECTED,False,8.33,0.0,0,False,openai,reject,10,DERIVABILITY: Crime category 'Violent Crimes / Assault' not derivable from event or context about buying drugs; category contradicts event content.,anthropic,reject,15,DERIVABILITY: Crime category 'Violent Crimes / Assault' is not plausibly derivable from buying drugs. No violence or assault indicated.,gemini,reject,0,"DERIVABILITY: The crime category 'Violent Crimes / Assault' is contradicted by the event and context, which describe drug trafficking/possession."
560,PersonX buys ___ for christmas,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
950,PersonX buys new furniture,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
716,PersonX buys a motorcycle,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
171,PersonX borrows the money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
561,PersonX buys ___ for christmas,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
717,PersonX buys a motorcycle,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
951,PersonX buys new furniture,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
15,PersonX accidentally dropped,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
16,PersonX accidentally dropped,APPROVED,False,94.67,94.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
405,PersonX buys PersonX's first home,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
172,PersonX borrows the money,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
718,PersonX buys a new dress,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
562,PersonX buys ___ for the children,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
406,PersonX buys PersonX's first home,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
952,PersonX buys groceries,APPROVED,False,91.67,91.67,3,True,openai,approve,90,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
407,PersonX buys PersonX's friend,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
17,PersonX also grabbed,APPROVED,False,70.0,97.5,2,True,openai,approve,95,All criteria met.,anthropic,reject,15,DERIVABILITY: Event text 'PersonX also grabbed' is too fragmentary to support crime classification without context. Context provided is speculative.,gemini,approve,100,All criteria met.
563,PersonX buys ___ for the children,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
953,PersonX buys groceries,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
18,PersonX also grabbed,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
174,PersonX begs for money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
408,PersonX buys PersonX's friend,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
173,PersonX begs for money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
719,PersonX buys a new dress,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
954,PersonX buys new sheets,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
720,PersonX buys ___ with PersonX's own money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
564,PersonX buys ___ for the new school year,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
19,PersonX almost hit PersonY,APPROVED,False,70.0,97.5,2,True,openai,approve,95,All criteria met.,anthropic,reject,15,"PROPORTIONALITY: xIntent describes intentional aggressive acts ('to intimidate', 'to physically threaten') but event text marks action as accidental ('almost hit').",gemini,approve,100,All criteria met.
409,PersonX buys PersonX's new shoes,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
175,PersonX beats PersonY easily,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
565,PersonX buys ___ for the new school year,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
955,PersonX buys new sheets,APPROVED,False,92.33,92.33,3,True,openai,approve,92,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
721,PersonX buys ___ with PersonX's own money,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
176,PersonX beats PersonY easily,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
410,PersonX buys PersonX's new shoes,APPROVED,False,93.33,93.33,3,True,openai,approve,95,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
722,PersonX buys a new brush,APPROVED,False,92.33,92.33,3,True,openai,approve,92,All criteria met.,anthropic,approve,85,All criteria met.,gemini,approve,100,All criteria met.
956,PersonX buys lottery tickets,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
177,PersonX borrows ___ to buy,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
20,PersonX almost hit PersonY,APPROVED,False,70.0,97.5,2,True,openai,approve,95,All criteria met.,anthropic,reject,15,"PROPORTIONALITY: xIntent describes intentional aggressive acts ('to cause disturbance', 'to provoke') contradicting 'almost hit' (accidental/near-miss event).",gemini,approve,100,All criteria met.
566,PersonX buys ___ on sale,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
411,PersonX buys PersonX's ticket,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
723,PersonX buys a new brush,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
21,PersonX accidentally burned,REJECTED,False,18.33,0.0,0,False,openai,reject,20,"PROPORTIONALITY/CONSISTENCY: xIntent lists deliberate malicious aims (destroy evidence, create distraction) that contradict the event's 'accidentally' framing.",anthropic,reject,15,PROPORTIONALITY: xIntent includes 'to destroy evidence of another crime' and 'to create a distraction'—intentional aggressive acts contradicting 'accidentally burned'.,gemini,reject,20,"PROPORTIONALITY: xIntent describes intentional criminal acts (distraction, destroying evidence) which directly contradict the 'accidentally' nature of the event."
567,PersonX buys ___ on sale,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
957,PersonX buys lottery tickets,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
178,PersonX borrows ___ to buy,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
412,PersonX buys PersonX's ticket,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
22,PersonX accidentally burned,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
568,PersonX buys ___ on the way home,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
23,PersonX also grabbed ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
724,PersonX buys a new chair,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
958,PersonX buys it online,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
413,PersonX buys PersonY a car,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
725,PersonX buys a new chair,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
569,PersonX buys ___ on the way home,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
179,PersonX breaks PersonX's toe,REJECTED,False,11.67,0.0,0,False,openai,reject,20,"CONSISTENCY: Context and intents describe assault on PersonY, but event states PersonX injured themself (self-injury), a direct contradiction.",anthropic,reject,15,CONSISTENCY: Event describes self-injury (PersonX breaks PersonX's toe). Context and xIntent/xEffect describe assault on PersonY. Direct contradiction.,gemini,reject,0,"CONSISTENCY: xIntent/xEffect/oEffect describe an attack on PersonY, which directly contradicts the event text stating PersonX injured themselves (PersonX's toe)."
180,PersonX beats PersonY's brains out,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
959,PersonX buys it online,APPROVED,False,96.0,96.0,3,True,openai,approve,93,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
24,PersonX also grabbed ___,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
726,PersonX buys a new camera,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
960,PersonX buys gifts for PersonY's family,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
570,PersonX buys ___ every week,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
414,PersonX buys PersonY a car,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
25,PersonX abuses PersonX's power,APPROVED,False,95.67,95.67,3,True,openai,approve,92,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
181,PersonX beats PersonY's brains out,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
415,PersonX burns the food,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
727,PersonX buys a new camera,APPROVED,False,95.67,95.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,92,All criteria met.,gemini,approve,100,All criteria met.
571,PersonX buys ___ every week,APPROVED,False,96.67,96.67,3,True,openai,approve,95,All criteria met.,anthropic,approve,95,All criteria met.,gemini,approve,100,All criteria met.
